index,source,edge,target,edge-comments
1014,Hollywood celebrities,fading seek to revive their,careers,says Dr. Mark Schleiss
1015,proponents of alternative vaccine strategies,seek,celebrity status,says Dr. Mark Schleiss
1016,proponents of alternative vaccine strategies,write,best-sellers,says Dr. Mark Schleiss
1017,financial forces,are preying on vulnerable and resource-limited,families,says Dr. Mark Schleiss
1018,families,are desperately seeking,answers,vulnerable and resource-limited
1019,financial forces,behind every anti-vaccine website is,unconscionable,says Dr. Mark Schleiss
1020,measles,control through vaccines is one of the most successful public health,interventions,in recent years
1021,measles vaccine,has reduced by 30 to 50 percent in some countries,childhood mortality,
1022,childhood mortality,"reduction is even larger in most impoverished populations, reaching up to 90 percent from",measles vaccine,
1023,childhood mortality,reduction is even larger in most,impoverished populations,from measles vaccine
1024,measles vaccine,has additional benefits that are still poorly understood,benefits,
1025,measles,infection typically accompanied by a severe,immunosuppression,
1026,immunosuppression,"often thought to be transient, which increases the host's",susceptibility to other illnesses,
1027,measles vaccine,"regardless of infectious agent, is associated with large reductions in",childhood mortality,WHO concluded
1028,measles vaccine,appears to prevent some,opportunistic infections,
1029,measles vaccine,protective effects can lead to reduction in,infectious disease mortality,of roughtly five years--and even persist for life in some cases
1030,measles vaccine,has,long-term benefits,
1031,measles vaccine,benefits are not,transient,
1032,immunological mechanisms,we don't know of any that could explain,nonspecific vaccine benefits,
1033,measles,could cause the loss of,immune memory cells,
1034,measles,could erase previously acquired,immunity,Scientists have previously suggested one possible explanation
1035,mass vaccination,"in Europe and the U.S., against measles was followed by reduction in",reduction in childhood mortality,
1036,reduction in childhood mortality,was due to,nonmeasles infectious diseases,
1037,measles virus,"for England and Wales, led to",immunosuppression,for an average of 28.3 months
1038,immunospression,corresponded to a strengthened association between measles and,nonmeasles infectious diseases,
1039,measles,strengthened association with,nonmeasles infectious diseases,
1040,measles,infections may have contributed to as many as half of all,childhood deaths from infectious diseases,when measles was common
1041,measles,infections reduction through,vaccination,the scientists found
1042,vaccination,of measles infections was largest factor in reducing overall,childhood infectious disease mortality,
1043,measles,may reset memory of our,immune system,the results of this study provide strong support
1044,infection,can provide a robust,herd immunity,against subsequent epidemics
1045,vaccination,can provide a robust,herd immunity,against subsequent epidemics
1046,herd immunity,against other infections could actually be reduced by infection of,measles,
1047,vaccine campaign,for,rubella elimination effort,
1048,vaccine campaign,leads to,elimination of rubella,in the Americas
1049,rubella cases,keep coming in from,elsewhere in the globe,
1050,World Health Organization,announced,promising news,
1051,Pan American Health Organization,announced,promising news,
1052,promising news,is that there have been no new transmission of,rubella virus,in Western Hemisphere
1053,rubella virus,none in 2009,new transmission,in Western Hemisphere
1054,rubella virus,in the Western Hemisphere declared,eliminated virus,in Western Hemisphere
1055,rubella virus,has been declared eliminated in,Western Hemisphere,
1056,eliminated virus,is,elite list,
1057,smallpox,has been declared,eliminated virus,in Western Hemisphere
1058,polio,has been declared,eliminated virus,in Western Hemisphere
1059,rubella,is commonly called,German measles,
1060,rubella,doesn't cause,severe symptoms,in vast majority
1061,rubella,can cause in,pregnant women,
1062,rubella,can cause in pregnant women,miscarriage,
1063,rubella,can cause in pregnant women,birth defects,
1064,miscarriage,rubella can cause in,pregnant women,
1065,birth defects,rubella can cause in,pregnant women,
1066,children,"up to 20,000 a year in Latin American and the Carribean are born with rubella-related",birth defects,says World Health Organization before effective rubella vaccine
1067,rubella outbreak,"last major in the United States also saw up to 20,000 a year children with rubella-related",birth defects,
1068,MMR vaccine,widespread use partly to thank for,rubella elimination,
1069,Carribean,countries also used,adult vaccination program,
1070,adult vaccination program,helped cut,rubella transmission,
1071,overseas infections,responsible for several in Western Hempishere,rubella cases,in Western Hemisphere
1072,rubella elimination effort,also targeted,measles virus,
1073,measles virus,elimination has,bad news,
1074,measles,in the near future can be,eliminated,
1075,World Health Organization,optimistic that can be eliminated,measles,
1076,fear of vaccines,in recent years has led to,number of outbreaks,in United States
1077,SB 277,abolishing most,opt-outs,
1078,SB 277,abolishes,personal belief exemptions,in CA
1079,SB 277,won overwhelming approval in,California Senate,
1080,SB 277,supporters hope that it will clear the Assembly and be signed into,law,
1081,SB 277,is,controversial bill,
1082,controversial bill,won,overwhelming approval,
1083,controversial bill,bolstering hopes of,supporters,
1084,vaccines,are necessary for,protection,
1085,vaccines,are necessary to protect,people,
1086,protection,has been eroding for,vaccines,
1087,science,is clear about,vaccines,
1088,vaccines,science is clear,safe,
1089,vaccines,science is clear,efficacious,
1090,SB 277,is required before entering,kindergarten,
1091,SB 277,require children before entering kindergarten,vaccinated,
1092,medical exemptions,permitted by,SB 277,
1093,personal exemptions,not permitted,SB 277,
1094,religious exemptions,not permitted,SB 277,
1095,SB 277,agreed to limit number to 10 of,required vaccines,
1096,SB 277 critics,concerns of ever-expanding list of,shots,
1097,SB 277,most significant compromise was to grandfather in students whose parents have claimed,personal belief exemptions,
1098,compromise,was to grandfather in students whose parents have claimed,personal belief exemptions,
1099,compromise,aimed at mollifying hundreds of,angry California parents,
1100,angry California parents,have staged rallies and jammed hearing rooms,SB 277,
1101,angry California parents,have concerns over,vaccine side effects,
1102,angry California parents,concerns over asserting,parental rights,
1103,California governor,is sensitive to,parental rights,
1104,California governor,sees as major responsibility,public health,
1105,public health,is a major,responsibility,
1106,Governor Jerry Brown,has signaled that he supports,SB 277,the bill
1107,Governor Jerry Brown,possibility he might urge legislators to include,religious exemption,
1108,anti-vaccine,folks are going to make a very hard push against,SB 277,said Pitney
1109,Senator Pan,made changes that made bill more acceptable to,critics,Pitney
1110,Senator Pan,made changes that should improve bill's chances in,Assembly,Pitney
1111,republicans,most in California voted against,SB 277,the measure
1112,republicans,concerned about opportunities for ,equal education,in California
1113,unvaccinated,kindergarteners would require,home schooling,
1114,SB 277,tells that the government thinks it knows better to deeply devout,families,Senator Mike Morrell
1115,SB 277,vote and debate often crossed,party lines,
1116,Senator Jeff Stone,denounced,myths,
1117,myths,have led to,false concerns,Senator Jeff Stone
1118,democrat,had concerns about the list,mandated vaccines,Senator Richard Roth
1119,vaccine opponents,from,California Coalition for Health Choice,
1120,California Coalition for Health Choice,thanked who voted no,senators,
1121,California Coalition for Health Choice,said they would step up efforts in Assembly to highlight impact of,SB 277,
1122,SB 277,would have impact on,schools,California Coalition for Health Choice
1123,SB 277,impact of difficulty of acquiring,medical exemptions,
1124,parents,who claim personal belief exemption do it for,legitimate reasons,
1125,parents,are not uninformed who claim,personal belief exemptions,
1126,officials,only thing can do is educate about,personal belief exemption,"Lisa Bakshi, mother from Placer Count"
1127,parents,who do personal belief exemption now do it for,legitimate reasons,
1128,parents,who do personal belief exemption don't do it because they are,uninformed,
1129,personal belief exemption,is for,legimate reasons,
1130,personal belief exemption,not because they are,uninformed,
,young children,are later exposed to,life-threatening diseases,
